English,French
part,partie
history,histoire
search,chercher
police,police
thought,pensais
request,demande
kind,genre
brother,frère
let,laisser
because,car
to put,mettre
no,aucun
leash,laisse
them,eux
speak,parlé
come,arrivé
should,devrait
baby,bébé
will,vont
while,pendant
meet again,revoir
speak,parle
knew,savais
were,étaient
Warning,attention
here is,voici
could,pourrais
case,affaire
give,donner
type,type
given,donné
train,train
body,corps
place,endroit
way,façon
listen,écoute
whose,dont
first,premier
lost,perdu
first,première
side,côté
old,vieux
be,sois
here,tiens
morning,matin
so much,tellement
child,enfant
came,venu
after,suite
sorry,pardon
in front of,devant
towards,vers
minutes,minutes
request,demandé
bedroom,chambre
placed,mis
beautiful,belle
law,droit
today,aujourd'hui
husband,mari
cause,cause
finally,enfin
hope,espère
water,eau
Wait,attendez
left,parti
new,nouvelle
job,boulot
Stop,arrêter
would say,dirait
Earth,terre
account,compte
far,loin
end,fin
sweetheart,chérie
large,gros
rather,plutôt
girls,filles
to play,jouer
office,bureau
